tahun,kecamatan,kelurahan_desa,kec_lower,kec_kel,lat,long,jumlah_stunting_beresiko,jumlah_stunting_tidak_beresiko,jumlah_sasaran_keluarga,jarak_anak_t1,jarak_anak_t2,jarak_anak_t3,jarak_anak_t4,memiliki_anak_baduta,memiliki_anak_balita,memiliki_anak_pus,memiliki_anak_pus_hamil,air_minum,jamban,asi_eks_jan,asi_eks_feb,asi_eks_mar,asi_eks_apr,asi_eks_may,asi_eks_jun,asi_eks_july,asi_eks_aug,asi_eks_sept,asi_eks_oct,asi_eks_nov,asi_eks_dec,jumlah_puskesmas_asi_eks,jumlah_posyandu,jumlah_posyandu_data_lansia,luas,prop_stunting_luas
2021,Ponggok,KEBONDUREN,ponggok,ponggokKEBONDUREN,-8.0286,112.0889,248,322,2458,8,495,17,272,180,364,1709,40,87,214,5,7,7,9,13,19,25,25,28,31,36,38,1,9,2,"8,500.00",0.02917647059
2021,Ponggok,PONGGOK,ponggok,ponggokPONGGOK,-8.0287,112.1121,223,192,2328,23,572,22,253,215,458,1968,47,45,105,5,5,6,4,9,10,15,22,33,41,48,56,1,12,2,"1,028.47",0.2168269371
2021,Wonodadi,SALAM,wonodadi,wonodadiSALAM,-8.0291,111.9747,286,700,2836,1,74,2,46,44,80,368,14,1,31,2,2,4,7,9,12,17,20,22,23,22,23,1,3,1,22.59,12.66046923
2021,Wonodadi,KEBONAGUNG,wonodadi,wonodadiKEBONAGUNG,-8.0303,112.0102,460,636,2772,2,213,13,72,108,159,749,26,17,42,6,9,11,14,20,22,25,21,20,18,15,10,1,4,1,329.00,1.398176292
2021,Garum,SLOROK,garum,garumSLOROK,-8.0347,112.2628,660,618,2754,17,296,7,201,138,278,1265,38,71,170,8,9,9,11,12,11,12,21,27,33,35,36,1,10,5,570.23,1.157427705
2021,Wonodadi,REJOSARI,wonodadi,wonodadiREJOSARI,-8.0349,111.9834,162,383,2519,2,57,6,39,37,59,307,11,2,10,6,6,8,10,11,13,15,15,16,16,16,16,1,2,1,205.00,0.7902439024
2021,Ponggok,DADAPLANGU,ponggok,ponggokDADAPLANGU,-8.0355,112.0734,412,383,2519,2,248,11,83,102,189,788,29,108,64,2,4,4,4,5,5,10,14,13,19,22,27,1,6,3,524.23,0.7859145795
2021,Nglegok,NGLEGOK,nglegok,nglegokNGLEGOK,-8.0363,112.2054,732,681,2817,8,389,22,163,213,310,1393,58,77,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"5,309.00",0.1378790733
2021,Nglegok,KEMLOKO,nglegok,nglegokKEMLOKO,-8.0371,112.1890,447,385,2521,8,189,10,120,101,190,827,28,60,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,327.32,1.365636075
2021,Udanawu,RINGINANOM,udanawu,udanawuRINGINANOM,-8.0375,112.0415,276,415,2551,10,280,21,90,82,189,876,30,2,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,565.25,0.4882795223
